fault_severity,location,severity_type,resource_type,log_feature,volume,event_type
0,254,0,2,88,1,23
0,463,1,2,95,2,22
0,62,0,8,203,3,1
0,669,0,8,54,2,6
0,451,1,2,143,4,23
0,174,1,8,56,1,1
0,226,0,2,88,1,8
0,773,0,8,199,1,1
0,456,0,2,85,4,8
0,483,1,2,99,2,23
0,469,3,2,143,1,23
0,585,1,8,189,1,1
0,576,1,7,137,1,1
0,25,0,8,65,1,1
0,750,0,8,202,4,5
0,557,0,8,203,2,1
0,433,1,2,98,7,23
0,653,1,8,48,6,1
0,213,0,2,132,1,23
0,451,1,2,145,3,22
0,709,0,8,66,2,5
0,849,1,8,189,2,1
0,777,1,8,65,1,1
0,51,1,8,213,5,5
0,159,1,2,143,31,23
0,780,1,8,189,5,1
0,292,3,2,143,1,23
0,483,1,2,100,19,23
0,759,0,2,85,1,8
0,453,1,2,143,12,22
0,787,1,8,213,18,5
0,734,0,8,203,3,1
0,93,0,8,85,1,1
0,137,1,2,99,5,22
0,771,1,8,49,1,1
0,881,1,8,199,1,1
0,368,1,2,98,23,22
0,709,0,8,213,2,5
0,749,0,8,64,3,1
0,108,0,8,202,7,1
0,139,1,2,99,5,23
0,701,0,8,40,1,1
0,665,1,8,65,1,1
0,141,1,2,144,1,22
0,657,0,8,48,1,1
0,569,1,8,213,12,5
0,246,1,2,143,7,23
0,462,0,8,39,1,1
0,911,1,8,213,15,5
0,132,1,2,98,16,22
0,107,0,8,189,3,1
0,460,1,2,98,3,23
0,441,1,2,143,1,23
0,464,1,2,99,6,22
0,204,0,2,132,1,8
0,140,1,2,143,1,22
0,480,1,2,145,9,23
0,349,1,8,180,1,1
0,99,0,8,73,2,1
0,709,0,8,202,2,5
0,825,1,8,212,4,1
0,135,1,2,99,9,22
0,463,1,2,95,2,23
0,135,1,2,98,2,22
0,662,0,8,64,2,5
0,702,0,8,48,2,1
0,746,0,8,45,2,1
0,870,0,8,213,11,5
0,49,1,8,205,2,1
0,752,1,8,202,1,5
0,470,1,2,143,2,22
0,775,1,8,74,10,5
0,434,0,2,88,1,8
0,450,1,2,143,17,23
0,614,1,8,213,5,5
0,746,0,8,201,2,1
0,244,1,2,140,1,22
0,20,1,2,140,1,23
0,814,0,8,212,2,1
0,749,1,8,202,1,5
0,481,1,2,93,1,23
0,479,1,2,139,3,23
0,401,3,2,143,1,23
0,473,1,2,99,5,22
0,750,0,8,64,2,5
0,787,1,8,213,24,5
0,905,1,2,143,4,23
0,483,1,2,98,1,22
0,871,0,8,211,1,5
0,308,0,2,85,1,8
0,457,1,2,145,23,23
0,482,1,2,101,1,23
0,775,1,8,74,6,5
0,764,1,8,213,14,5
0,329,1,2,138,1,22
0,450,3,2,143,2,23
0,25,0,8,203,7,1
0,749,0,8,202,3,5
0,384,1,2,146,1,23
0,480,1,2,98,2,22
0,881,0,8,48,1,1
0,152,1,2,143,2,22
0,86,1,8,213,10,5
0,466,1,2,143,2,23
0,482,1,2,143,2,22
0,129,1,2,143,11,23
0,146,1,2,99,1,22
0,746,0,8,63,2,1
0,159,1,2,101,1,23
0,479,1,2,93,2,23
0,464,1,2,140,21,22
0,644,0,8,202,1,1
0,246,1,2,143,32,23
0,137,1,2,99,2,22
0,735,0,8,183,7,4
0,472,1,2,145,2,23
0,734,0,8,65,30,1
0,581,1,8,49,1,1
0,504,1,2,144,2,23
0,585,1,8,189,2,1
0,7,1,8,211,1,5
0,750,0,8,202,9,5
0,244,1,2,140,33,22
0,569,1,8,74,2,5
0,566,0,8,64,2,5
0,882,0,8,63,6,1
0,841,0,8,64,4,5
0,734,0,8,203,13,1
0,284,0,2,132,1,8
0,764,0,8,74,2,1
0,69,1,2,144,1,23
0,20,1,2,144,2,22
0,687,0,8,190,1,1
0,256,1,2,144,1,22
0,662,0,8,155,1,14
0,25,0,8,203,5,1
0,862,0,8,203,2,1
0,566,1,8,202,2,5
0,135,1,2,138,1,23
0,579,1,8,213,8,5
0,34,0,8,189,3,1
0,119,0,8,218,2,1
0,20,1,2,100,1,22
0,373,1,2,138,1,22
0,439,1,2,144,39,23
0,734,1,8,65,2,1
0,42,1,8,74,2,5
0,116,0,2,85,1,8
0,135,1,2,99,6,23
0,135,1,2,143,4,23
0,713,0,8,153,1,3
0,368,1,2,144,6,23
0,599,0,2,85,2,8
0,246,1,2,143,25,23
0,777,0,8,203,30,1
0,756,0,8,201,7,1
0,662,1,8,202,3,5
0,110,1,8,199,1,1
0,490,0,2,145,16,22
0,195,0,2,88,1,23
0,304,3,2,143,1,23
0,94,1,8,68,1,5
0,299,0,8,199,1,1
0,585,0,8,48,3,1
0,646,0,8,189,3,1
0,436,1,2,143,2,23
0,764,1,8,213,10,5
0,441,1,2,143,15,23
0,876,0,8,45,2,1
0,436,1,2,98,3,22
0,756,0,8,63,4,1
0,687,1,8,201,1,1
0,911,1,8,213,12,5
0,482,1,2,146,5,22
0,272,1,2,145,1,22
0,323,1,2,139,1,22
0,361,1,2,138,2,22
0,137,1,2,98,2,23
0,137,1,2,138,2,22
0,35,0,8,189,6,1
0,711,0,2,85,1,8
0,30,1,2,96,6,22
0,705,0,8,57,1,1
0,457,1,2,99,4,22
0,749,0,8,64,3,1
0,893,1,8,190,1,1
0,487,1,2,101,1,22
0,166,1,2,98,11,23
0,103,0,8,203,2,1
0,361,0,2,138,1,22
0,325,3,2,144,1,23
0,139,1,2,98,10,23
0,653,1,8,189,1,1
0,749,0,8,46,9,5
0,832,0,8,65,8,1
0,469,1,2,140,1,22
0,244,1,2,98,2,23
0,18,0,8,202,1,1
0,665,0,8,203,12,1
0,746,0,8,63,2,1
0,117,1,8,199,1,1
0,480,1,2,141,1,23
0,461,1,2,145,36,23
0,301,1,2,93,1,23
0,464,1,2,139,3,22
0,189,1,2,143,1,22
0,644,0,8,202,1,1
0,786,1,8,74,2,5
0,502,1,2,101,11,22
0,827,0,8,189,14,1
0,377,1,2,143,2,22
0,454,1,2,100,4,23
0,662,1,9,116,1,5
0,376,0,2,85,6,22
0,771,0,8,40,1,1
0,451,1,2,100,2,23
0,652,0,8,65,2,1
0,467,1,2,94,27,23
0,825,0,8,212,1,1
0,246,1,2,98,28,23
0,436,1,2,143,1,23
0,911,1,8,213,14,5
0,734,0,8,65,9,1
0,372,1,2,143,4,23
0,491,1,2,98,44,22
0,146,1,2,99,1,23
0,490,1,2,143,9,23
0,340,3,2,146,1,23
0,92,0,8,199,1,1
0,313,3,2,143,1,23
0,32,0,8,48,6,1
0,664,1,8,203,2,1
0,787,0,8,213,14,1
0,375,1,2,98,6,23
0,686,0,8,213,2,1
0,754,0,8,203,1,1
0,283,1,2,138,1,23
0,734,0,8,65,21,1
0,371,0,2,88,1,22
0,472,1,2,143,8,22
0,817,0,8,65,6,1
0,375,1,2,143,6,23
0,490,1,2,143,4,23
0,614,1,8,213,8,5
0,827,0,8,48,1,1
0,287,1,2,93,1,22
0,45,0,8,107,1,6
0,491,1,2,98,7,23
0,288,1,2,98,3,22
0,749,0,8,199,1,1
0,927,0,8,194,1,1
0,742,0,8,203,1,1
0,764,0,8,204,4,5
0,862,1,8,203,1,1
0,159,1,2,98,5,23
0,734,1,8,65,3,1
0,881,1,8,189,1,1
0,246,1,2,143,34,23
0,927,0,8,48,5,1
0,240,3,2,143,1,23
0,20,1,2,100,1,22
0,451,1,2,98,9,22
0,493,1,2,143,4,22
0,883,0,8,203,3,1
0,613,0,8,69,1,1
0,139,1,2,146,4,22
0,870,1,8,213,1,5
0,368,1,2,99,25,22
0,134,1,2,100,1,23
0,257,1,2,143,7,22
0,734,0,8,65,15,1
0,466,1,2,141,35,22
0,472,1,2,98,20,23
0,324,0,2,132,1,23
0,487,1,2,99,1,23
0,146,1,2,99,3,22
0,283,1,2,143,3,23
0,756,1,8,201,7,1
0,168,1,2,143,2,23
0,775,1,8,213,24,5
0,375,1,2,143,14,23
0,614,1,8,206,1,1
0,787,1,8,74,11,5
0,492,1,2,143,38,23
0,491,1,2,98,9,23
0,242,1,2,138,2,23
0,864,0,8,78,2,1
0,288,1,2,98,2,23
0,684,0,8,190,8,1
0,689,1,8,65,2,1
0,107,0,8,189,23,1
0,559,0,2,85,1,8
0,614,0,8,72,3,5
0,253,3,2,143,1,23
0,48,1,8,203,1,1
0,545,1,8,190,2,1
0,901,1,8,190,1,1
0,177,1,2,98,1,22
0,459,1,2,143,1,23
0,269,1,2,144,1,22
0,633,0,8,190,10,1
0,491,1,2,144,2,23
0,609,0,2,85,1,8
0,922,0,8,199,3,1
0,136,1,2,101,4,22
0,569,0,8,213,20,5
0,463,1,2,145,44,23
0,756,0,8,201,5,1
0,454,1,2,143,45,23
0,20,1,2,144,1,22
0,653,0,8,189,1,1
0,778,1,8,199,2,1
0,684,0,8,49,3,1
0,456,1,2,143,10,22
0,108,0,8,202,6,5
0,115,1,8,199,1,1
0,832,1,8,190,1,1
0,454,1,2,146,8,22
0,775,1,8,74,11,5
0,466,1,2,94,25,22
0,292,1,2,143,4,22
0,656,0,8,201,13,1
0,355,1,2,93,1,22
0,18,0,8,202,1,5
0,0,0,8,213,2,5
0,502,1,2,101,1,23
0,875,0,8,75,2,1
0,277,0,2,85,1,23
0,445,1,2,98,4,22
0,443,1,2,95,1,23
0,557,1,8,65,3,1
0,775,1,8,213,10,5
0,456,1,2,98,5,22
0,513,1,2,143,1,22
0,168,1,2,143,4,23
0,750,1,8,202,2,5
